"CT2000.Geo_FIPS","CT2000.Geo_NAME","CT2000.AVGINCOME","CT2000.SIZE","CT2000.ROOMS","CT2000.DEGREE","CT2000.OWN","CT2000.VEHICLES"
6075021500,"Census Tract 215",88612.07787,2.05,4.28587918430165,0.601124912116241,0.344992050874404,1.28139904610493
6075021600,"Census Tract 216",114731.9372,1.85,4.47426981919332,0.678410117434508,0.603998096144693,1.3979057591623
6075021700,"Census Tract 217",94236.12167,2.23,4.98036093418259,0.554492127199753,0.70880605078336,1.53376553214479
6075021800,"Census Tract 218",100151.5685,2.16,5.05448717948718,0.601854714064915,0.5601108033241,1.52631578947368
6075022600,"Census Tract 226",142004.771,1.76,3.43664717348928,0.616891064871481,0.383771929824561,1.31568228105906
6075022701,"Census Tract 227.01",115532.9904,1.83,4.52074303405573,0.659109991603694,0.500333555703803,1.46502331778814
6075022702,"Census Tract 227.02",130704.4693,1.85,4.59684210526316,0.699751861042184,0.361344537815126,1.44526315789474
6075022703,"Census Tract 227.03",96720.50702,2.32,4.66346573548669,0.512994350282486,0.422222222222222,1.25215419501134
6075022801,"Census Tract 228.01",72384.50491,3.45,4.03787327021122,0.300619497880665,0.299030574198359,1.13916349809886
6075022802,"Census Tract 228.02",92634.72454,2.72,4.59282371294852,0.290486564996369,0.294416243654822,1.44570502431118
6075022803,"Census Tract 228.03",59264.56212,3.49,4.27105263157895,0.275672548452415,0.284453496266124,0.996605566870333
6075022901,"Census Tract 229.01",63522.87276,3.91,3.97083653108212,0.231722054380665,0.174603174603175,1.10047095761381
6075022902,"Census Tract 229.02",64682.55659,3.77,4.21526908635795,0.254880089235917,0.341115434500649,1.09247027741083
6075022903,"Census Tract 229.03",88439.89455,3.49,4.24245038826575,0.295171339563863,0.304964539007092,1.3395390070922
6075023001,"Census Tract 230.01",60510.38864,3.84,4.65902366863905,0.11406736484574,0.756818181818182,1.4469696969697
6075023002,"Census Tract 230.02",41072.23001,3.47,4.34303797468354,0.0986394557823129,0.382753403933434,0.983122362869198
6075023003,"Census Tract 230.03",63624,3.59,4.94366197183099,0.134418780764862,0.732735426008969,1.66948356807512
6075023101,"Census Tract 231.01",43068.43575,3.5,5.50602409638554,0.0892193308550186,0.598240469208211,1.20063694267516
6075023102,"Census Tract 231.02",44361.21931,2.86,4.15543644716692,0.145626477541371,0.36219221604448,1.11990595611285
6075023103,"Census Tract 231.03",24134.67742,3.36,4.08585503166784,0.0414378432351473,0.0949963741841914,0.702702702702703
6075023200,"Census Tract 232",53862.59169,3.6,5.00551615445232,0.0910482019892885,0.622857142857143,1.54448979591837
6075023300,"Census Tract 233",62279.40141,3.97,4.46263910969793,0.179519595448799,0.6953125,1.66115702479339
6075023400,"Census Tract 234",43926.55738,3.78,4.91099476439791,0.074792243767313,0.440347071583514,1.32971800433839
6075025100,"Census Tract 251",94170.50584,2.49,5.11178247734139,0.447307692307692,0.636221701795472,1.53395784543326
6075025200,"Census Tract 252",81972.50958,2.58,4.82177757096324,0.50035825173155,0.567335243553009,1.39828080229226
6075025300,"Census Tract 253",75624.36405,2.52,4.26943844492441,0.457636566332218,0.38961038961039,1.21513269339356
6075025401,"Census Tract 254.01",61892.84082,2.97,4.45346239761728,0.342929111191076,0.411764705882353,1.38808250572956
6075025402,"Census Tract 254.02",74258.44828,2.99,4.58834244080146,0.344214876033058,0.705663881151346,1.47176684881603
6075025403,"Census Tract 254.03",62765.46982,3.19,4.55325034578147,0.255703098399728,0.515324305060584,1.30969609261939
6075025500,"Census Tract 255",70387.94326,3.32,4.80170575692964,0.277258566978193,0.675099866844208,1.55747891699956
6075025600,"Census Tract 256",75444.03131,3.72,4.95900064061499,0.231502382743918,0.759659462999345,1.72036673215455
6075025700,"Census Tract 257",59989.47579,3.68,4.77301092043682,0.156447534766119,0.657211346384339,1.68397922493008
6075025800,"Census Tract 258",64762.06897,3.45,4.42444821731749,0.2223113964687,0.579335793357934,1.22522522522523
6075025900,"Census Tract 259",73104.24862,3.2,4.98702290076336,0.262333333333333,0.806990881458967,1.81350729086723
6075026001,"Census Tract 260.01",69615.69727,3.85,4.65092402464066,0.161605206073753,0.588440111420613,1.26462395543175
6075026002,"Census Tract 260.02",68857.12766,3.43,4.94769874476987,0.2506450423885,0.802547770700637,1.6104033970276
6075026003,"Census Tract 260.03",67850.31397,3.76,4.93625192012289,0.194690265486726,0.709929632525411,1.73025801407349
6075026004,"Census Tract 260.04",63003.07836,3.73,4.54735883424408,0.178082191780822,0.638733705772812,1.49255121042831
6075026100,"Census Tract 261",70360.59866,3.64,4.56850961538461,0.227314181486548,0.666056166056166,1.65750915750916
6075026200,"Census Tract 262",75360.75808,3.89,4.65032679738562,0.221383391144664,0.669832402234637,1.71005586592179
6075026301,"Census Tract 263.01",65977.26864,3.93,4.56287944492628,0.210823373173971,0.712880143112701,1.63595706618962
6075026302,"Census Tract 263.02",68921.41745,3.39,4.73882896764253,0.212111292962357,0.802498048399688,1.64012490241998
6075026303,"Census Tract 263.03",62127.18855,3.76,4.44782251437962,0.237228607918263,0.673417721518987,1.53670886075949
6075026401,"Census Tract 264.01",60836.53631,4.19,4.82436882546652,0.142054574638844,0.751964085297419,1.79124579124579
6075026402,"Census Tract 264.02",68002.94118,3.85,4.85833333333333,0.195378151260504,0.75992438563327,1.91776937618147
6075026403,"Census Tract 264.03",58813.1334,4.08,4.18642350557244,0.126661454261142,0.621136590229312,1.51649484536082
6075026404,"Census Tract 264.04",67333.69763,4.49,5.03068592057762,0.215415019762846,0.670611439842209,1.76851851851852
