index,N,adj_r2,parameter,HHSIZE,INCOME,ROOMS,DETTACHED,OWN,DEGREE,VEH
PersonalInsuranceAndPensions,19219,0.413,Beta,0.172,0.619,0.163,0.002,0.084,0.294,0.145
PersonalInsuranceAndPensions, , ,SE,0.014,0.007,0.023,0.015,0.018,0.015,0.014
PersonalInsuranceAndPensions,  ,  ,Confidence Level,0.0,0.0,0.0,0.913,0.0,0.0,0.0
PetsToysAndPlaygroundEquipment,7544,0.043,Beta,-0.032,0.129,0.28,0.043,0.046,0.141,0.069
PetsToysAndPlaygroundEquipment, , ,SE,0.028,0.013,0.047,0.027,0.035,0.028,0.026
PetsToysAndPlaygroundEquipment,  ,  ,Confidence Level,0.246,0.0,0.0,0.112,0.193,0.0,0.009
PrescriptionDrugs,7691,0.017,Beta,-0.025,0.007,0.134,-0.011,0.252,0.019,0.117
PrescriptionDrugs, , ,SE,0.031,0.013,0.05,0.029,0.04,0.03,0.028
PrescriptionDrugs,  ,  ,Confidence Level,0.43,0.591,0.007,0.689,0.0,0.515,0.0
PublicAndOtherTransportation,3870,0.043,Beta,0.077,0.169,0.233,-0.015,0.315,0.199,-0.034
PublicAndOtherTransportation, , ,SE,0.056,0.027,0.085,0.056,0.073,0.062,0.055
PublicAndOtherTransportation,  ,  ,Confidence Level,0.173,0.0,0.006,0.784,0.0,0.001,0.542
PublicAndOtherTransportationOnTrips,2251,0.024,Beta,0.251,0.1,0.053,-0.072,0.146,0.235,-0.114
PublicAndOtherTransportationOnTrips, , ,SE,0.068,0.031,0.099,0.064,0.087,0.071,0.063
PublicAndOtherTransportationOnTrips,  ,  ,Confidence Level,0.0,0.001,0.596,0.263,0.094,0.001,0.069
Reading,4554,0.022,Beta,0.051,0.074,0.243,-0.051,0.045,0.123,-0.045
Reading, , ,SE,0.038,0.016,0.058,0.034,0.049,0.036,0.033
Reading,  ,  ,Confidence Level,0.182,0.0,0.0,0.134,0.36,0.001,0.175
Shelter,22814,0.19,Beta,0.21,0.254,0.366,-0.003,-0.746,0.453,-0.056
Shelter, , ,SE,0.014,0.007,0.024,0.015,0.019,0.015,0.015
Shelter,  ,  ,Confidence Level,0.0,0.0,0.0,0.843,0.0,0.0,0.0
SmallAppliancesMiscHousewares,2342,0.045,Beta,-0.031,0.116,0.214,0.029,0.086,-0.033,0.118
SmallAppliancesMiscHousewares, , ,SE,0.041,0.02,0.066,0.042,0.054,0.044,0.041
SmallAppliancesMiscHousewares,  ,  ,Confidence Level,0.461,0.0,0.001,0.493,0.112,0.453,0.004
TelephoneServices,21332,0.122,Beta,0.298,0.113,0.163,0.004,-0.032,0.084,0.15
TelephoneServices, , ,SE,0.012,0.005,0.019,0.012,0.015,0.012,0.012
TelephoneServices,  ,  ,Confidence Level,0.0,0.0,0.0,0.745,0.033,0.0,0.0
TelevisionsRadiosAndSoundEquipment,19269,0.028,Beta,0.064,0.057,0.206,0.016,0.139,-0.04,0.017
TelevisionsRadiosAndSoundEquipment, , ,SE,0.014,0.006,0.024,0.014,0.018,0.015,0.014
TelevisionsRadiosAndSoundEquipment,  ,  ,Confidence Level,0.0,0.0,0.0,0.271,0.0,0.007,0.237
TobaccoAndSmokingSupplies,4526,0.017,Beta,0.086,0.05,0.077,0.035,0.052,-0.117,0.06
TobaccoAndSmokingSupplies, , ,SE,0.029,0.014,0.048,0.029,0.033,0.033,0.028
TobaccoAndSmokingSupplies,  ,  ,Confidence Level,0.003,0.0,0.107,0.214,0.116,0.0,0.033
